,raw_comment,cleaned,emotion,score,emoji
1829,LET&#39;S GOOO JEREMIAH❤️❤️❤️,let39s gooo jeremiah,neutral,0.96,
1830,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1831,We all know she will and up with Conrad,we all know she will and up with conrad,neutral,0.932,
1832,JELLYFISH WILL WIN,jellyfish will win,approval,0.421,
1833,Cómo se llama la canción?,cómo se llama la canción,neutral,0.95,
1834,&quot;hey&quot;,quotheyquot,neutral,0.969,
1835,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
1836,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
1837,Yeah this isn’t gonna be my season. I’m a Jerry and Belly shipper and screamed “NOOOO UGHHHHHHH” when he said hey. I know chaos is about to explode.,yeah this isnt gonna be my season im a jerry and belly shipper and screamed noooo ughhhhhhh when he said hey i know chaos is about to explode,neutral,0.469,
1838,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
1839,She’s just so gorgeous!!!! 😭🩷,shes just so gorgeous,admiration,0.946,
1840,I want conraaaaddd. Couldnt even finish season 2 cuz she be acting up like girl choose one guy please.,i want conraaaaddd couldnt even finish season 2 cuz she be acting up like girl choose one guy please,neutral,0.432,
1841,TEAM JERAMIAH ALL THE WAY,team jeramiah all the way,neutral,0.961,
1842,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
1843,Pure talent. No words,pure talent no words,admiration,0.835,
1844,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
1845,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
1846,My actual heart <br>I can’t breathe,my actual heart bri cant breathe,neutral,0.623,
1847,WTF!!!!!,wtf,anger,0.704,😡
1848,both are looking so happy.I  really want to ask are people really that happy in relationships,both are looking so happyi  really want to ask are people really that happy in relationships,joy,0.549,😊
1849,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
1850,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
1851,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1852,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
1853,Pure talent. No words,pure talent no words,admiration,0.835,
1854,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1855,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
1856,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
1857,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
1858,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
1859,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
1860,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
1861,Name of songs,name of songs,neutral,0.964,
1862,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
1863,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
1864,My single self is going to eat this all up,my single self is going to eat this all up,neutral,0.956,
1865,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
1866,Please tell me name of second song when Conrad come,please tell me name of second song when conrad come,curiosity,0.504,
1867,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
1868,I feel like I can&#39;t watch this because Belly/Jeremiah is everything and I know it&#39;s going to be destroyed,i feel like i can39t watch this because bellyjeremiah is everything and i know it39s going to be destroyed,disappointment,0.198,
1869,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
1870,THE SONG CHOICE!!!! OMG😭,the song choice omg,surprise,0.397,😲
1871,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
1872,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1873,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
1874,That “Hey”😭🫶,that hey,neutral,0.955,
1875,Pure talent. No words,pure talent no words,admiration,0.835,
1876,It was only &quot;hey&quot; nothing big deal,it was only quotheyquot nothing big deal,neutral,0.841,
1877,So excited to see Jeremiah and Belly as a couple!!! Will always love them💛🔆🩷,so excited to see jeremiah and belly as a couple will always love them,excitement,0.619,
1878,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
1879,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
1880,AJSJDKQJWJSK CAN&#39;T WAIT!!,ajsjdkqjwjsk can39t wait,neutral,0.706,
1881,Pure talent. No words,pure talent no words,admiration,0.835,
1882,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1883,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
1884,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
1885,Pure talent. No words,pure talent no words,admiration,0.835,
1886,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
1887,Bro this is perfect ❤❤❤❤😭😭👌👍👍,bro this is perfect,admiration,0.637,
1888,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
1889,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
1890,WAIT A MINUTE. DID CONRADS VOICE GET DEEPER LIKE WOAHHHH WAIT A MINUTEEEEE,wait a minute did conrads voice get deeper like woahhhh wait a minuteeeee,neutral,0.553,
1891,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
1892,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
1893,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1894,OMG PLEASE JENNY MAKE IT A CONRAD SEASON I BEG OF YOU!!🙏🙏🙏,omg please jenny make it a conrad season i beg of you,desire,0.731,
1895,Your consistency is inspiring—keep going,your consistency is inspiringkeep going,admiration,0.926,
1896,"Revelation 21:8<br><br>8But the cowardly, the unbelieving, the vile, the murderers, the sexually immoral, those who practice magic arts, the idolaters and all liars-their place will be in the fiery lake of burning sulfur. This is the second death.&quot;",revelation 218brbr8but the cowardly the unbelieving the vile the murderers the sexually immoral those who practice magic arts the idolaters and all liarstheir place will be in the fiery lake of burning sulfur this is the second deathquot,neutral,0.926,
1897,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1898,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
1899,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
1900,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
1901,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
1902,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
1903,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
1904,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
1905,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
1906,You just earned a new subscriber,you just earned a new subscriber,excitement,0.32,
1907,CMON WHATEVER ANYBODY ELSE I DON&#39;T CARE WHEN BELLY AND JERMIAH ARE TOGETHER IT&#39;S JUST PURE NICE AND CUTE . JERMIAH HAS ALWAYS BEEN A SUNSHINE FOR BELLY NO MATTER HOW CONRAD IS OR WHATEVER CONRAD WILL DO JERMIAH WILL ALWAYS STAY IN MY HEART AT THE 1ST PLACE ☀️☀️☀️☀️,cmon whatever anybody else i don39t care when belly and jermiah are together it39s just pure nice and cute  jermiah has always been a sunshine for belly no matter how conrad is or whatever conrad will do jermiah will always stay in my heart at the 1st place,love,0.559,❤️
1908,I’m freaking screaming yall,im freaking screaming yall,anger,0.667,😡
1909,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
1910,"Always team Jeremiah ❤, but the TV show probably has other plans.",always team jeremiah  but the tv show probably has other plans,neutral,0.849,
1911,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1912,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
1913,"I literally thought last season was the last one, but here another summer we got another one…let’s geeeeeet iiiiiiiit",i literally thought last season was the last one but here another summer we got another onelets geeeeeet iiiiiiiit,neutral,0.285,
1914,THE SCREAM I SCRUMT WHEN RED CAME ON WTFFFFUUUUUU,the scream i scrumt when red came on wtffffuuuuuu,neutral,0.801,
1915,OHMYGOOOOOOSH,ohmygoooooosh,surprise,0.384,😲
1916,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
1917,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
1918,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
1919,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
1920,OMGGG YESSSS ❤❤❤,omggg yessss,surprise,0.4,😲
1921,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
1922,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1923,I was so so happy till I saw conraddd,i was so so happy till i saw conraddd,joy,0.903,😊
1924,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
1925,You just earned a new subscriber,you just earned a new subscriber,excitement,0.32,
1926,Team jere at least one season where they together….. peacefully,team jere at least one season where they together peacefully,joy,0.476,😊
1927,"<a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=29"">0:29</a>  the way he picked her up ❤ goals!",a href  the way he picked her up  goals,neutral,0.968,
1928,Belly and Jeremiah are so cute but Bonrad is endgame!!,belly and jeremiah are so cute but bonrad is endgame,admiration,0.884,
1929,Pure talent. No words,pure talent no words,admiration,0.835,
1930,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
1931,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
1932,Pure talent. No words,pure talent no words,admiration,0.835,
1933,"que no se quede con ninguno y listo, ya me cansé",que no se quede con ninguno y listo ya me cansé,neutral,0.936,
1934,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
1935,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
1936,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
1937,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
1938,Aww my jere baby 🥹💘 he&#39;s the greenest flag ever don&#39;t wanna see his character getting turned into a cheater! <br>HE&#39;S SUNSHINE PERSONIFIED 💕,aww my jere baby  he39s the greenest flag ever don39t wanna see his character getting turned into a cheater brhe39s sunshine personified,neutral,0.762,
1939,Not Conrad spoiled everything again 😢😢,not conrad spoiled everything again,neutral,0.806,
1940,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
1941,He had me at hey ❤,he had me at hey,neutral,0.971,
1942,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
1943,Pure talent. No words,pure talent no words,admiration,0.835,
1944,this is my cure,this is my cure,approval,0.337,
1945,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
1946,"This was exactly what I needed, thanks!",this was exactly what i needed thanks,gratitude,0.981,
1947,🩶🩶🩶🩶🩶🧡🧡🧡🧡🧡,,empty,0.0,
1948,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
1949,"Great tips, thanks for sharing!",great tips thanks for sharing,gratitude,0.99,
1950,Red by Taylor Swift playing in the end is so iconic,red by taylor swift playing in the end is so iconic,admiration,0.63,
1951,I kinda feel bad for Jere now 😭,i kinda feel bad for jere now,sadness,0.839,😢
1952,UGH I LOVE BELLY AND JERRY TG THEYR SO CUTE,ugh i love belly and jerry tg theyr so cute,love,0.864,❤️
1953,Thank you for the great content!,thank you for the great content,gratitude,0.987,
1954,Your consistency is inspiring—keep going,your consistency is inspiringkeep going,admiration,0.926,
1955,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
1956,BUT LOVING HIM WAS RED,but loving him was red,love,0.933,❤️
1957,"This was very informative, appreciate it.",this was very informative appreciate it,admiration,0.92,
1958,Pure talent. No words,pure talent no words,admiration,0.835,
1959,ONCE AGAIN CONRAD COMES AND RUINS EVERYTHING,once again conrad comes and ruins everything,disappointment,0.364,
1960,Your consistency is inspiring—keep going,your consistency is inspiringkeep going,admiration,0.926,
1961,I don&#39;t know whoever belly will end up with. I just everyone to be happy. Like especially the boys I don&#39;t want to see any one of them cry😢,i don39t know whoever belly will end up with i just everyone to be happy like especially the boys i don39t want to see any one of them cry,joy,0.438,😊
1962,Your consistency is inspiring—keep going,your consistency is inspiringkeep going,admiration,0.926,
1963,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
1964,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
1965,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
1966,"Great tips, thanks for sharing!",great tips thanks for sharing,gratitude,0.99,
1967,Amazing content as always!,amazing content as always,admiration,0.874,
1968,OMGGGGGG I LOVE IT ALREADYYY,omgggggg i love it alreadyyy,love,0.955,❤️
1969,I can’t believe we’re already in season 3 😭,i cant believe were already in season 3,surprise,0.783,😲
1970,&quot;All good boys go to heaven but bad boys bring heaven to you.&quot;,quotall good boys go to heaven but bad boys bring heaven to youquot,neutral,0.939,
1971,I swear to god if she ends up with Jeremiah I&#39;M GONNA BREAK THE TV. TEAM CONNIE BABY FOREVER !!💪❤,i swear to god if she ends up with jeremiah i39m gonna break the tv team connie baby forever,neutral,0.509,
1972,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
1973,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
1974,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
1975,"Great job, this video was very useful!",great job this video was very useful,admiration,0.95,
1976,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
1977,I SWEAR IF SHE CHOOSES CONRAD I MIGHT COMMIT A CRIME,i swear if she chooses conrad i might commit a crime,neutral,0.701,
1978,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
1979,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
1980,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
1981,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
1982,"This was super helpful, thanks!",this was super helpful thanks,gratitude,0.99,
1983,"Fantastic explanation, thank you!",fantastic explanation thank you,gratitude,0.961,
1984,Thank god it&#39;s the final season 🙏,thank god it39s the final season,joy,0.476,😊
1985,Thank you for the great content!,thank you for the great content,gratitude,0.987,
1986,"This was exactly what I needed, thanks!",this was exactly what i needed thanks,gratitude,0.981,
1987,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1988,"This is trending, but not Wednesday season 2?",this is trending but not wednesday season 2,neutral,0.76,
1989,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
1990,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
1991,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
1992,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
1993,Bookreaders know the fate...but my heart will always root for team jellyfish ❣️❣️,bookreaders know the fatebut my heart will always root for team jellyfish,neutral,0.469,
1994,Amazing content as always!,amazing content as always,admiration,0.874,
1995,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
1996,"Your videos are always so helpful, thank you!",your videos are always so helpful thank you,gratitude,0.988,
1997,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
1998,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
1999,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
2000,"Loved this video, keep up the great work!",loved this video keep up the great work,admiration,0.892,
2001,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
2002,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
2003,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
2004,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
2005,Omg conny myfirstlove😭,omg conny myfirstlove,love,0.748,❤️
2006,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
2007,🍆🍆🍆🍆🍆lawd Jesus,lawd jesus,neutral,0.967,
2008,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
2009,Damn..so many shows are coming out in July,damnso many shows are coming out in july,neutral,0.556,
2010,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
2011,Conrad&#39;s Hey is way better than jeremiah&#39;s whole point being belly&#39;s bf 😂,conrad39s hey is way better than jeremiah39s whole point being belly39s bf,neutral,0.783,
2012,"You explained this so well, thank you!",you explained this so well thank you,gratitude,0.986,
2013,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
2014,IM ACTUALLY GONNA CRASH OUT IF BELLY MESSES UP HER RELATIONSHIP WITH JER AGAIN. JER WOULD BE SO HEARTBROKEN,im actually gonna crash out if belly messes up her relationship with jer again jer would be so heartbroken,sadness,0.894,😢
2015,Pure talent. No words,pure talent no words,admiration,0.835,
2016,Team Conrad i stan ❤,team conrad i stan,neutral,0.963,
2017,"Fantastic video, really appreciate your effort!",fantastic video really appreciate your effort,admiration,0.949,
2018,"Your videos are always so helpful, thank you!",your videos are always so helpful thank you,gratitude,0.988,
2019,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
2020,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
2021,"You explained this so well, thank you!",you explained this so well thank you,gratitude,0.986,
2022,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
2023,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
2024,Omg screaming n crying 😭💜💗,omg screaming n crying,sadness,0.304,😢
2025,Really appreciate the insights in this video.,really appreciate the insights in this video,admiration,0.914,
2026,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
2027,FUUUUUUDGE!!!!!!,fuuuuuudge,neutral,0.929,
2028,"Loved this video, keep up the great work!",loved this video keep up the great work,admiration,0.892,
2029,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
2030,The way she is wearing red too,the way she is wearing red too,neutral,0.897,
2031,"Your videos are always so helpful, thank you!",your videos are always so helpful thank you,gratitude,0.988,
2032,Thank you for the great content!,thank you for the great content,gratitude,0.987,
2033,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
2034,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
2035,"That part at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=165"">2:45</a> Instant goosebumps",that part at a href instant goosebumps,excitement,0.387,
2036,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
2037,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
2038,CONRAD. RUINED. EVERYTHING.,conrad ruined everything,annoyance,0.309,
2039,team anti belly,team anti belly,neutral,0.967,
2040,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
2041,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
2042,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
2043,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
2044,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
2045,"Ive been waiting... And waiting... And waiting! Im SO FREAKIN HAPPY ABD EXCITED! JERE AND BELLY ARE LIKE MY PERFECT COUPLE GOALS!!! I wish they stayed, but i have to admit, I LOVED the sing choices and transition! 🎉❤❤❤",ive been waiting and waiting and waiting im so freakin happy abd excited jere and belly are like my perfect couple goals i wish they stayed but i have to admit i loved the sing choices and transition,love,0.732,❤️
2046,BRUDDA SHE NEEDS A JERAMIAH. it’s HIS time to shine. both conrad and jere were struggling but jere was so much better than con because con literally treated her so horribly jere is a way better match any ways he’s better looking,brudda she needs a jeramiah its his time to shine both conrad and jere were struggling but jere was so much better than con because con literally treated her so horribly jere is a way better match any ways hes better looking,neutral,0.74,
2047,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
2048,the way my jaw droped when it was all about belly and jeramia 🙄 give me a break!,the way my jaw droped when it was all about belly and jeramia  give me a break,neutral,0.787,
2049,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
2050,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
2051,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
2052,I&#39;m excited to watch s3. 😭,i39m excited to watch s3,excitement,0.793,
2053,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
2054,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
2055,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
2056,Thank you for the great content!,thank you for the great content,gratitude,0.987,
2057,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
2058,Really appreciate the insights in this video.,really appreciate the insights in this video,admiration,0.914,
2059,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
2060,special appreciation for the soundtracksssss!!!! how do you always kill it JENNY HAN!?!!?!? my swiftie heart is exploded,special appreciation for the soundtracksssss how do you always kill it jenny han my swiftie heart is exploded,admiration,0.881,
2061,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
2062,how are so many of u team conrad ? it makes no sense 😭,how are so many of u team conrad  it makes no sense,confusion,0.4,
2063,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
2064,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
2065,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
2066,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
2067,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
2068,Pure talent. No words,pure talent no words,admiration,0.835,
2069,"This was super helpful, thanks!",this was super helpful thanks,gratitude,0.99,
2070,Bro this serie should have 2 season more,bro this serie should have 2 season more,neutral,0.947,
2071,"Great tips, thanks for sharing!",great tips thanks for sharing,gratitude,0.99,
2072,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
2073,IS BELLY WEARING CONRADS SWEATER,is belly wearing conrads sweater,neutral,0.969,
2074,"You explained this so well, thank you!",you explained this so well thank you,gratitude,0.986,
2075,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
2076,just a &quot;hey&quot; was enough to kill me,just a quotheyquot was enough to kill me,neutral,0.515,
2077,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
2078,The teasers and trailers with the combination of the songs is always so good,the teasers and trailers with the combination of the songs is always so good,admiration,0.817,
2079,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
2080,"No matter how the story ends, just admit it—Belly and Jeremiah simply look better together.<br><br>They’re the ones who give you butterflies—the way they look at each other, the way they connect—it’s the kind of love that feels genuine and full of warmth 🥰🤗",no matter how the story ends just admit itbelly and jeremiah simply look better togetherbrbrtheyre the ones who give you butterfliesthe way they look at each other the way they connectits the kind of love that feels genuine and full of warmth,love,0.454,❤️
2081,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
2082,Amazing content as always!,amazing content as always,admiration,0.874,
2083,We got our Daylight music vid we stannnn and then Red too okay Jenny I see u!!!,we got our daylight music vid we stannnn and then red too okay jenny i see u,neutral,0.747,
2084,I WASSS SCREAMINNN IN JOYY UNTIL THE &quot;hey&quot; 😭,i wasss screaminnn in joyy until the quotheyquot,joy,0.749,😊
2085,"That transition at <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=192"">3:12</a> was chefs kiss",that transition at a href was chefs kiss,neutral,0.942,
2086,"idgaf what any of the team bonrad ppl say, jellyfisher is endgame",idgaf what any of the team bonrad ppl say jellyfisher is endgame,neutral,0.967,
2087,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
2088,TEAM JER FOR THE WINNNN,team jer for the winnnn,neutral,0.96,
2089,"I’ve always been Team Jeremiah. Yes, I’ve read the book. I just want more stories where toxic first love isn’t romanticized, and instead we see that true love can come later—it doesn’t have to be the first one.<br><br>While reading, it felt like the author just threw in Jeremiah’s cheating as a plot device to justify ending the story with Belly and Conrad together.<br><br>Team Jellyfish ♾️♾️♾️",ive always been team jeremiah yes ive read the book i just want more stories where toxic first love isnt romanticized and instead we see that true love can come laterit doesnt have to be the first onebrbrwhile reading it felt like the author just threw in jeremiahs cheating as a plot device to justify ending the story with belly and conrad togetherbrbrteam jellyfish,desire,0.572,
2090,"Thanks for sharing this, learned a lot.",thanks for sharing this learned a lot,gratitude,0.989,
2091,The fact I&#39;m team both,the fact i39m team both,neutral,0.966,
2092,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
2093,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
2094,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
2095,IT&#39;S COMING ON MY B&#39;DAY,it39s coming on my b39day,neutral,0.877,
2096,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
2097,The &quot;I once believed love would be burning red&quot; to &quot;but Loving him was red&quot; transition is everything to me 🤧❤️,the quoti once believed love would be burning redquot to quotbut loving him was redquot transition is everything to me,love,0.909,❤️
2098,It’s time for team Conrad girls to rise!!!!,its time for team conrad girls to rise,neutral,0.698,
2099,❤,,empty,0.0,
